id,s41,s42,s43,trust_pomp,trust_bin,trust_c5,trust_c7,cohort,female,edu_years,hukou,party,region,subj_class,econ_subj,fairness,social_trust,si_med,si_pen,si_any,empstat,statsec,contract,lninc,internet,know_lawyer,know_police,voted,year,wt
1215.0,4,7,18,0.5,0.0,1.0,0.0,1.0,0.0,12.0,2.0,0.0,1.0,5.0,3.0,4.0,3.0,1.0,1.0,1.0,4.0,,,10.753660202026367,5.0,0.0,0.0,0.0,2017.0,0.19139741361141205
1216.0,4,7,18,,,,,1.0,0.0,9.0,2.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,4.0,,,10.308985710144043,1.0,,,1.0,2017.0,0.3827948272228241
1217.0,4,7,16,,,,,2.0,1.0,12.0,1.0,0.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,9.90353775024414,1.0,,,0.0,2017.0,1.0554941892623901
1218.0,4,7,22,,,,,4.0,0.0,9.0,1.0,0.0,1.0,1.0,3.0,2.0,4.0,1.0,0.0,1.0,3.0,0.0,,9.615872383117676,3.0,,,0.0,2017.0,0.8634134531021118
1219.0,4,7,14,,,,,2.0,1.0,12.0,1.0,0.0,1.0,1.0,1.0,4.0,4.0,0.0,1.0,1.0,4.0,,,0.0,1.0,,,0.0,2017.0,0.4221976697444916
1221.0,4,7,16,,,,,5.0,1.0,9.0,1.0,0.0,1.0,7.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,5.0,,,0.0,2017.0,2.910895586013794
1223.0,4,7,16,1.0,1.0,1.0,1.0,2.0,0.0,16.0,2.0,0.0,1.0,4.0,3.0,2.0,2.0,1.0,1.0,1.0,4.0,,,12.899222373962402,4.0,1.0,0.0,1.0,2017.0,1.236725926399231
1224.0,4,7,21,,,,,5.0,1.0,19.0,2.0,1.0,1.0,5.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,12.611540794372559,5.0,,,0.0,2017.0,0.45068782567977905
1227.0,4,7,18,,,,,1.0,0.0,9.0,2.0,1.0,1.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,4.0,,,10.778977394104004,1.0,,,1.0,2017.0,0.3827948272228241
1228.0,4,7,15,,,,,6.0,1.0,16.0,2.0,0.0,1.0,4.0,3.0,2.0,2.0,1.0,1.0,1.0,4.0,,,0.0,5.0,,,0.0,2017.0,2.6699159145355225
1229.0,4,7,14,,,,,1.0,1.0,0.0,1.0,0.0,1.0,5.0,3.0,4.0,4.0,1.0,0.0,1.0,4.0,,,10.645448684692383,1.0,,,1.0,2017.0,0.2110988348722458
1230.0,4,7,21,0.800000011920929,1.0,1.0,1.0,2.0,0.0,12.0,1.0,1.0,1.0,4.0,3.0,4.0,4.0,1.0,1.0,1.0,2.0,0.0,1.0,11.002116203308105,5.0,0.0,0.0,1.0,2017.0,0.574192225933075
1231.0,4,7,21,,,,,6.0,0.0,15.0,2.0,0.0,1.0,7.0,4.0,2.0,4.0,1.0,0.0,1.0,3.0,0.0,,9.615872383117676,5.0,,,0.0,2017.0,3.6470792293548584
1232.0,4,7,15,,,,,5.0,1.0,16.0,2.0,0.0,1.0,3.0,3.0,4.0,3.0,0.0,0.0,0.0,3.0,0.0,,0.0,5.0,,,0.0,2017.0,0.45068782567977905
